
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 05월 19일~06월 17일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,05-19,      17.1,      21.9,      12.8,       3.9,      66.8,       7.6,,,    1006.5,    1008.7,       2.6
철원,95,05-19,      16.8,      23.1,      10.5,       4.4,      66.2,       7.5,,,     991.5,    1009.6,       2.0
동두천,98,05-19,      17.3,      24.3,      11.2,       4.4,      64.7,       7.2,,,     996.5,    1009.6,       1.7
파주,99,05-19,      16.6,      23.5,      10.7,       4.4,      71.8,       7.4,,,    1006.4,    1010.0,       1.7
대관령,100,05-19,      13.1,      19.2,       7.0,       3.8,      67.3,       8.1,,,     917.8,    1009.5,       4.0
춘천,101,05-19,      17.8,      24.6,      11.4,       4.1,      66.7,       7.2,,,    1000.9,    1009.8,       1.4
백령도,102,05-19,      14.8,      18.6,      11.5,       3.0,      70.8,       7.9,       5.1,,     993.4,    1009.1,       5.2
강릉,105,05-19,      18.9,      23.7,      14.2,       2.8,      57.2,       7.6,,,    1006.1,    1009.2,       2.6
동해,106,05-19,      17.1,      21.6,      13.1,       2.3,      66.7,       7.5,,,    1004.7,    1009.0,       2.4
서울,108,05-19,      18.4,      23.8,      13.5,       4.0,      60.8,       7.1,       4.9,       4.8,     999.9,    1010.0,       2.4
인천,112,05-19,      16.9,      21.8,      13.1,       3.4,      70.9,       7.8,       5.0,       4.3,    1001.8,    1009.9,       2.9
원주,114,05-19,      18.1,      24.6,      11.8,       2.9,      62.3,       7.1,,,     992.5,    1009.9,       1.2
울릉도,115,05-19,      16.6,      20.3,      13.2,       3.3,      69.5,       8.3,       5.0,       5.2,     984.2,    1010.0,       4.1
수원,119,05-19,      17.8,      23.7,      12.4,       3.3,      67.2,       7.4,       4.9,       4.6,    1006.2,    1010.4,       1.8
영월,121,05-19,      17.0,      24.5,      10.2,       3.5,      65.9,       7.1,,,     981.9,    1009.7,       1.4
충주,127,05-19,      17.7,      24.8,      10.9,       3.2,      61.1,       7.5,,,     998.9,    1010.2,       1.7
서산,129,05-19,      16.9,      22.7,      11.7,       2.9,      72.3,       7.7,,,    1007.5,    1010.5,       2.8
울진,130,05-19,      16.8,      21.8,      12.4,       1.8,      69.8,       7.9,,,    1003.6,    1009.4,       3.0
청주,131,05-19,      19.0,      25.1,      13.3,       2.4,      58.7,       7.9,       4.8,       5.1,    1003.5,    1010.3,       1.9
대전,133,05-19,      18.8,      24.7,      13.1,       2.9,      63.1,       7.9,       4.7,       4.8,    1002.2,    1010.3,       2.0
추풍령,135,05-19,      17.4,      24.0,      10.9,       2.5,      61.8,       7.6,,,     981.9,    1010.2,       2.5
안동,136,05-19,      18.1,      25.1,      11.3,       3.1,      62.2,       7.8,       4.6,       5.4,     993.9,    1010.3,       1.7
상주,137,05-19,      18.6,      25.3,      12.4,       3.7,      61.0,       7.6,,,     998.7,    1010.1,       1.5
포항,138,05-19,      19.2,      24.2,      14.8,       2.3,      62.7,       8.0,       4.7,       5.7,    1010.0,    1010.4,       2.6
군산,140,05-19,      17.3,      22.7,      13.0,       2.4,      75.8,       7.1,,,    1007.5,    1010.7,       3.3
울산,152,05-19,      18.7,      24.4,      13.6,       2.8,      63.9,       7.4,       4.9,,    1005.4,    1010.3,       2.0
창원,155,05-19,      18.8,      24.2,      14.5,       4.6,      64.9,       7.3,       4.8,,    1007.8,    1010.4,       2.1
광주,156,05-19,      18.9,      25.0,      13.6,       2.9,      64.6,       7.6,       4.8,,    1002.2,    1010.7,       2.2
부산,159,05-19,      18.3,      22.5,      14.9,       4.5,      67.8,       7.6,       5.1,       4.4,    1002.3,    1010.5,       3.4
통영,162,05-19,      17.9,      22.4,      14.1,       4.9,      72.0,       7.3,,,    1007.3,    1011.0,       2.3
목포,165,05-19,      17.8,      22.7,      13.8,       3.2,      73.6,       7.4,       4.9,       4.5,    1006.1,    1011.0,       3.5
여수,168,05-19,      18.1,      22.0,      14.9,       5.2,      68.0,       7.5,       4.8,       5.2,    1002.9,    1010.8,       3.5
흑산도,169,05-19,      15.5,      19.4,      12.5,       2.6,      81.4,       6.6,       5.2,,    1001.2,    1010.4,       4.6
완도,170,05-19,      17.8,      22.8,      13.6,       5.3,      70.8,       7.3,,,    1007.3,    1010.8,       3.3
고창,172,05-19,      18.0,      24.7,      12.1,       1.4,      75.9,       8.1,,,    1005.5,    1011.6,       2.6
제주,184,05-19,      18.5,      22.4,      15.2,       3.5,      68.4,       6.9,       5.5,       4.7,    1008.6,    1011.1,       2.8
고산,185,05-19,      17.3,      20.8,      14.6,       5.7,      80.7,       6.8,,,    1002.3,    1010.8,       5.4
성산,188,05-19,      18.0,      22.3,      13.6,       6.8,      72.1,       7.0,,,    1009.0,    1011.2,       2.9
서귀포,189,05-19,      19.1,      22.8,      15.8,       9.2,      69.5,       6.8,       5.7,       4.4,    1004.8,    1010.8,       2.3
진주,192,05-19,      18.2,      25.1,      11.6,       4.3,      66.2,       7.4,,,    1007.5,    1010.5,       1.5
강화,201,05-19,      16.0,      21.5,      11.1,       3.9,      70.2,       7.6,,,    1005.0,    1010.6,       2.2
양평,202,05-19,      17.7,      24.8,      11.2,       3.7,      66.0,       7.5,,,    1005.1,    1010.7,       1.3
이천,203,05-19,      17.7,      24.7,      11.1,       3.1,      61.8,       7.5,,,    1001.2,    1010.1,       1.4
인제,211,05-19,      16.4,      23.7,       9.7,       4.1,      65.4,       7.1,,,     986.7,    1010.0,       1.9
홍천,212,05-19,      17.0,      24.8,      10.1,       4.4,      62.5,       7.3,,,     993.9,    1010.4,       1.3
태백,216,05-19,      15.0,      21.6,       8.6,       3.4,      59.6,       7.8,,,     928.6,    1009.1,       1.8
정선군,217,05-19,      16.6,      24.5,       9.6,       3.7,      61.8,       7.2,,,     975.8,    1011.3,       1.7
제천,221,05-19,      16.3,      23.7,       9.3,       3.7,      64.3,       7.6,,,     980.1,    1010.4,       1.6
보은,226,05-19,      17.0,      24.2,      10.1,       3.5,      63.5,       7.9,,,     989.9,    1010.0,       1.5
천안,232,05-19,      17.8,      24.3,      11.7,       2.3,      63.0,       7.8,,,    1006.4,    1010.3,       1.9
보령,235,05-19,      16.7,      22.0,      11.9,       2.2,      72.7,       7.8,,,    1008.7,    1010.8,       2.1
부여,236,05-19,      17.8,      24.9,      11.7,       2.8,      67.7,       7.8,,,    1009.2,    1010.8,       1.4
금산,238,05-19,      17.3,      24.7,      10.3,       2.6,      63.6,       7.9,,,     990.7,    1010.6,       1.3
부안,243,05-19,      17.4,      23.6,      12.2,       2.4,      70.6,       7.9,,,    1009.8,    1010.9,       2.0
임실,244,05-19,      16.5,      24.0,       9.4,       2.8,      66.8,       7.6,,,     982.3,    1010.9,       1.6
정읍,245,05-19,      18.3,      24.9,      12.3,       2.6,      63.4,       7.7,,,    1005.3,    1010.7,       1.5
남원,247,05-19,      17.8,      25.0,      11.0,       3.3,      65.4,       7.6,,,     999.1,    1010.9,       1.7
장수,248,05-19,      16.1,      23.0,       9.4,       3.4,      67.8,       7.5,,,     963.8,    1010.7,       2.0
영광군,252,05-19,      17.6,      23.9,      11.8,       3.5,      72.4,       7.7,,,    1006.6,    1010.4,       2.2
김해시,253,05-19,      19.8,      25.6,      14.9,       4.9,      63.0,       8.1,,,    1005.0,    1011.9,       2.2
순창군,254,05-19,      18.3,      25.4,      11.5,       4.4,      67.0,       8.0,,,     996.6,    1011.4,       1.8
양산시,257,05-19,      19.3,      25.4,      13.9,       4.7,      63.8,       7.6,,,    1010.8,    1012.5,       2.6
강진군,259,05-19,      18.3,      24.2,      12.6,       4.8,      70.1,       8.1,,,    1010.5,    1011.9,       2.7
장흥,260,05-19,      17.6,      23.8,      11.6,       4.5,      70.2,       7.5,,,    1005.8,    1010.9,       2.1
해남,261,05-19,      17.6,      23.6,      12.0,       3.9,      71.8,       7.7,,,    1009.1,    1011.1,       2.4
고흥,262,05-19,      17.7,      23.7,      11.9,       5.0,      66.7,       7.4,,,    1005.0,    1011.0,       1.6
의령군,263,05-19,      18.5,      26.4,      11.3,       1.5,      67.6,       7.3,,,    1009.6,    1011.3,       1.3
함양군,264,05-19,      17.7,      25.3,      10.0,       2.0,      71.1,       8.0,,,     993.6,    1011.2,       1.2
진도군,268,05-19,      17.2,      23.0,      11.9,       5.1,,,,,,,       2.0
봉화,271,05-19,      15.8,      23.8,       8.0,       4.3,      66.6,       7.7,,,     973.0,    1009.7,       1.4
영주,272,05-19,      17.5,      24.4,      10.5,       4.3,      61.1,       8.1,,,     985.6,    1009.8,       2.4
문경,273,05-19,      17.5,      24.4,      10.7,       3.9,      61.7,       7.9,,,     990.2,    1010.1,       1.7
청송군,276,05-19,      16.6,      25.1,       8.8,       1.6,      67.6,       7.8,,,     987.3,    1011.3,       1.3
영덕,277,05-19,      17.7,      23.7,      12.0,       2.2,      63.4,       8.2,,,    1005.8,    1010.9,       2.6
의성,278,05-19,      17.4,      25.8,       9.2,       3.1,      63.3,       7.8,,,    1001.0,    1010.2,       1.3
구미,279,05-19,      18.9,      25.8,      11.9,       2.4,      59.9,       8.0,,,    1005.0,    1010.4,       1.6
영천,281,05-19,      18.2,      25.6,      10.9,       2.7,      59.7,       8.0,,,     999.7,    1010.5,       1.9
경주시,283,05-19,      18.2,      25.6,      11.3,       1.1,      65.3,       7.9,,,    1007.0,    1011.5,       2.4
경주시,283,05-19,      18.2,      25.6,      11.3,       1.1,      65.3,       7.9,,,    1007.0,    1011.5,       2.4
거창,284,05-19,      17.3,      24.8,       9.7,       3.0,      64.9,       8.1,,,     984.6,    1010.6,       1.5
합천,285,05-19,      18.5,      26.0,      11.3,       2.8,      60.7,       7.5,,,    1006.9,    1010.6,       1.5
