조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로로필 표층,클로로필 저층,투명도 표층
2023,동해,강구연안,16.51 ,10.56 ,33.27 ,34.10 ,8.30 ,8.09 ,8.96 ,7.81 ,1.25 ,0.99 ,4.70 ,10.19 ,2.42 ,3.24 ,52.04 ,159.67 ,59.15 ,173.09 ,148.08 ,248.41 ,7.34 ,29.01 ,17.52 ,35.54 ,223.46 ,532.33 ,5.21 ,7.29 ,1.56 ,0.50 ,7.88 
2023,동해,강릉연안,16.04 ,9.05 ,33.90 ,33.98 ,8.20 ,8.08 ,8.76 ,8.64 ,1.31 ,1.35 ,2.93 ,9.73 ,2.69 ,2.76 ,44.38 ,129.25 ,50.00 ,141.74 ,139.05 ,208.92 ,7.98 ,21.53 ,16.68 ,29.59 ,168.87 ,368.03 ,7.33 ,8.04 ,1.10 ,0.74 ,10.95 
2023,동해,거진연안,16.15 ,11.42 ,33.59 ,33.75 ,8.25 ,8.16 ,8.98 ,9.01 ,1.33 ,1.11 ,2.41 ,7.01 ,2.47 ,2.52 ,40.97 ,60.61 ,45.83 ,70.14 ,153.15 ,175.88 ,6.86 ,14.18 ,17.76 ,23.76 ,165.81 ,208.52 ,6.48 ,6.81 ,1.64 ,1.06 ,8.88 
2023,동해,구룡포연안,17.76 ,15.09 ,33.37 ,33.98 ,8.24 ,8.15 ,8.71 ,7.36 ,1.15 ,1.25 ,6.84 ,5.90 ,3.36 ,5.44 ,40.19 ,94.99 ,50.39 ,106.32 ,136.93 ,175.15 ,7.84 ,15.86 ,17.12 ,23.31 ,199.64 ,347.96 ,5.15 ,5.95 ,1.81 ,1.10 ,7.63 
2023,동해,동해연안,16.78 ,11.79 ,33.84 ,34.11 ,8.24 ,8.12 ,8.80 ,7.98 ,1.49 ,1.51 ,2.38 ,9.13 ,2.23 ,3.25 ,37.94 ,121.62 ,42.55 ,133.98 ,120.37 ,195.43 ,7.28 ,20.64 ,18.11 ,29.77 ,168.12 ,366.95 ,6.28 ,5.40 ,1.65 ,0.81 ,10.97 
2023,동해,삼척연안,17.20 ,11.15 ,33.56 ,34.09 ,8.27 ,8.10 ,8.98 ,8.14 ,1.20 ,1.47 ,4.75 ,8.33 ,2.19 ,3.11 ,28.33 ,118.13 ,35.27 ,129.57 ,119.68 ,222.37 ,6.78 ,23.20 ,17.58 ,33.42 ,172.97 ,409.46 ,6.19 ,6.04 ,1.44 ,0.88 ,9.63 
2023,동해,속초연안,15.93 ,9.63 ,33.65 ,33.99 ,8.24 ,8.17 ,8.92 ,8.92 ,1.33 ,1.27 ,2.74 ,9.45 ,2.56 ,2.54 ,40.31 ,81.21 ,45.61 ,93.19 ,151.83 ,181.53 ,6.85 ,14.06 ,16.77 ,23.34 ,168.67 ,255.88 ,7.89 ,7.56 ,1.52 ,1.45 ,9.53 
2023,동해,양양연안,16.06 ,9.70 ,33.73 ,33.96 ,8.24 ,8.09 ,8.65 ,8.91 ,1.46 ,1.40 ,5.45 ,12.82 ,2.35 ,2.84 ,25.49 ,100.54 ,33.29 ,116.20 ,167.54 ,224.43 ,6.48 ,20.28 ,16.56 ,28.76 ,150.24 ,347.95 ,7.19 ,6.96 ,1.33 ,0.57 ,10.44 
2023,동해,영일만,16.79 ,10.90 ,33.73 ,34.27 ,8.25 ,8.03 ,8.84 ,7.28 ,1.26 ,1.48 ,2.19 ,8.97 ,3.48 ,3.98 ,77.21 ,161.88 ,82.90 ,174.86 ,158.27 ,278.04 ,6.96 ,30.29 ,20.11 ,41.24 ,260.06 ,588.90 ,3.85 ,3.85 ,1.33 ,0.68 ,8.38 
2023,동해,월포연안,15.42 ,10.18 ,33.88 ,34.18 ,8.20 ,8.11 ,9.01 ,7.59 ,1.14 ,1.24 ,2.42 ,11.53 ,2.61 ,3.75 ,39.01 ,175.18 ,44.03 ,190.47 ,153.94 ,255.22 ,6.94 ,28.97 ,20.15 ,36.31 ,219.10 ,579.21 ,7.48 ,7.40 ,2.21 ,0.69 ,7.44 
2023,동해,주문진연안,15.66 ,12.02 ,33.86 ,33.92 ,8.22 ,8.16 ,9.11 ,8.83 ,1.41 ,1.38 ,5.78 ,13.53 ,2.38 ,2.30 ,38.80 ,49.06 ,46.97 ,64.89 ,159.35 ,175.13 ,6.96 ,9.78 ,16.17 ,20.92 ,157.74 ,172.00 ,6.82 ,6.76 ,1.39 ,1.59 ,9.45 
2023,동해,죽변연안,15.56 ,11.06 ,33.97 ,34.12 ,8.21 ,8.07 ,8.90 ,7.70 ,1.15 ,1.36 ,7.25 ,9.64 ,2.23 ,2.79 ,50.63 ,143.66 ,60.10 ,156.08 ,141.53 ,225.95 ,8.64 ,24.41 ,22.48 ,35.36 ,212.52 ,414.24 ,6.47 ,8.03 ,1.78 ,1.20 ,9.97 
2023,동해,축산연안,17.31 ,7.10 ,33.29 ,34.12 ,8.28 ,7.96 ,8.86 ,7.65 ,1.22 ,0.95 ,4.10 ,9.43 ,2.29 ,2.49 ,39.24 ,209.76 ,45.61 ,221.68 ,145.59 ,317.71 ,6.69 ,35.72 ,18.92 ,47.88 ,206.89 ,598.15 ,6.98 ,5.96 ,1.70 ,0.17 ,9.19 
2023,동해,후포연안,17.22 ,9.89 ,33.66 ,34.22 ,8.27 ,8.06 ,8.99 ,7.63 ,1.14 ,1.05 ,4.10 ,3.72 ,2.21 ,2.88 ,44.64 ,172.23 ,50.95 ,178.82 ,143.48 ,258.27 ,7.27 ,28.86 ,19.02 ,37.47 ,179.69 ,511.74 ,6.33 ,5.47 ,1.17 ,0.68 ,9.94 
2023,대한해협,감포연안,17.93 ,14.96 ,33.36 ,33.97 ,8.20 ,8.13 ,8.46 ,7.18 ,1.32 ,1.16 ,5.89 ,5.28 ,4.13 ,6.59 ,47.98 ,95.87 ,58.00 ,107.75 ,138.59 ,186.24 ,9.55 ,17.93 ,20.82 ,28.86 ,230.31 ,384.10 ,8.48 ,7.61 ,1.92 ,0.98 ,5.94 
2023,대한해협,거제도남안,18.12 ,16.58 ,33.20 ,33.69 ,8.08 ,8.05 ,7.99 ,7.23 ,1.38 ,1.41 ,7.35 ,26.61 ,4.15 ,4.72 ,43.16 ,67.27 ,54.66 ,98.59 ,179.78 ,197.20 ,11.55 ,15.99 ,24.92 ,28.41 ,281.59 ,366.01 ,11.07 ,11.89 ,2.07 ,1.72 ,5.07 
2023,대한해협,거제도동안,18.33 ,16.22 ,32.80 ,33.65 ,8.20 ,8.14 ,8.62 ,7.40 ,1.53 ,1.27 ,4.07 ,8.15 ,2.60 ,5.47 ,24.85 ,78.77 ,31.51 ,92.38 ,162.94 ,187.59 ,5.40 ,13.78 ,20.68 ,26.00 ,175.29 ,353.29 ,8.38 ,19.23 ,2.25 ,1.73 ,5.31 
2023,대한해협,고성자란만,18.51 ,17.24 ,32.73 ,32.89 ,8.04 ,8.07 ,8.38 ,7.98 ,1.51 ,2.00 ,9.14 ,29.70 ,1.61 ,2.74 ,18.65 ,30.75 ,29.39 ,63.19 ,165.31 ,173.39 ,8.43 ,11.22 ,25.53 ,23.85 ,260.09 ,349.25 ,8.17 ,12.26 ,1.88 ,2.03 ,5.06 
2023,대한해협,기장연안,18.12 ,17.21 ,33.28 ,33.51 ,8.11 ,8.10 ,7.88 ,7.06 ,1.12 ,1.36 ,7.26 ,14.30 ,4.32 ,4.03 ,70.81 ,67.06 ,82.39 ,85.39 ,183.51 ,195.93 ,10.26 ,14.74 ,22.57 ,24.84 ,303.00 ,387.51 ,8.30 ,13.56 ,1.58 ,0.75 ,3.76 
2023,대한해협,낙동강하구,17.72 ,15.58 ,32.96 ,33.68 ,8.16 ,8.11 ,8.21 ,7.55 ,1.24 ,1.20 ,3.02 ,6.72 ,4.37 ,4.52 ,44.23 ,80.99 ,51.62 ,92.21 ,173.36 ,208.98 ,6.28 ,15.22 ,19.58 ,25.65 ,216.94 ,339.79 ,8.34 ,10.21 ,2.61 ,1.77 ,5.00 
